trial,animal_id,date,sess_id,result,hits,violations,temperror,hit_rate,error_rate,violation_rate,temp_error_rate,n_lpokes,n_cpokes,n_rpokes,trial_dur,valid_early_spoke,first_spoke,first_lpoke,first_rpoke,stage,sides,SMA_set,is_match,sa,sb,stimuli_on,settling_in_dur,legal_cbreak_dur,pre_dur,adj_pre_dur,stimulus_dur,delay_dur,post_dur,sb_extra_dur,viol_off_dur,pre_go_dur,inter_trial_dur,go_type,go_dur,give_type_set,give_type_imp,give_frac,give_delay_dur,give_light_dur,give_use,replay_on,timeouts,water_delivered,give_water_not_drunk,crash_hist,l_water_vol,r_water_vol,ab_l_prob,ab_r_prob,ab_beta,ab_tau,exp_del_tau,exp_del_min,exp_del_max,sound_pair
157,R610,2023-05-16,915119,3,,1,,0.58,0.42,0.6,0.0,2.0,1.0,1.0,8.340299999999843,False,l,0.5073999999999614,,5.0,r,cpoke,False,12.0,3.0,False,0.001,0.05,0.001,0.001,0.001,0.8232069480703745,0.001,0.0,0.8272069480703745,0.8272069480703745,4.764969847418478,none,0.2,light,light,1.0,0.001,0.0,False,True,0.1,0.0,True,False,6.0,6.0,0.34045319368485394,0.6595468063151461,4.0,30.0,0.5,0.4,0.9,"12.0, 3.0"
158,R610,2023-05-16,915119,2,0,0,0,0.58,0.42,0.61,0.0,1.0,3.0,0.0,8.905099999999948,False,l,0.7339000000001761,,5.0,r,cpoke,False,12.0,3.0,False,0.001,0.05,0.001,0.001,0.001,0.408447453159789,0.001,0.0,0.412447453159789,0.412447453159789,6.928879679853349,none,0.2,light,light,1.0,0.001,0.0,True,True,0.3,0.0,True,False,6.0,6.0,0.34045319368485394,0.6595468063151461,4.0,30.0,0.5,0.4,0.9,"12.0, 3.0"
159,R610,2023-05-16,915119,3,,1,,0.57,0.43,0.6,0.0,0.0,1.0,1.0,11.569800000000214,False,r,,0.5704000000000633,5.0,l,cpoke,True,3.0,3.0,False,0.001,0.05,0.001,0.001,0.001,0.7226095106208636,0.001,0.0,0.7266095106208637,0.7266095106208637,6.65153452139566,none,0.2,light,light,1.0,0.001,0.0,False,True,0.1,0.0,True,False,6.0,6.0,0.30904631026337576,0.6909536897366242,4.0,30.0,0.5,0.4,0.9,"3.0, 3.0"
160,R610,2023-05-16,915119,3,,1,,0.57,0.43,0.6,0.0,0.0,2.0,2.0,6.359599999999773,False,r,,0.4936000000002423,5.0,r,cpoke,False,3.0,12.0,False,0.001,0.05,0.001,0.001,0.001,0.8896764570376365,0.001,0.0,0.8936764570376365,0.8936764570376365,5.026912569960071,none,0.2,light,light,1.0,0.001,0.0,False,True,0.1,0.0,True,False,6.0,6.0,0.30904631026337576,0.6909536897366242,4.0,30.0,0.5,0.4,0.9,"3.0, 12.0"
161,R610,2023-05-16,915119,1,1,0,0,0.57,0.43,0.61,0.0,0.0,1.0,1.0,8.972200000000157,False,r,,0.5158000000001266,5.0,r,cpoke,False,3.0,12.0,False,0.001,0.05,0.001,0.001,0.001,0.48624805750475925,0.001,0.0,0.49024805750475925,0.49024805750475925,4.717345258329872,none,0.2,light,light,1.0,0.001,0.0,False,True,,6.0,True,False,6.0,6.0,0.30904631026337576,0.6909536897366242,4.0,30.0,0.5,0.4,0.9,"3.0, 12.0"
162,R610,2023-05-16,915119,3,,1,,0.58,0.42,0.6,0.0,0.0,3.0,3.0,13.52520000000004,False,r,,0.4520999999999731,5.0,l,cpoke,True,12.0,12.0,False,0.001,0.05,0.001,0.001,0.001,0.8584784955668392,0.001,0.0,0.8624784955668392,0.8624784955668392,4.062979566833597,none,0.2,light,light,1.0,0.001,0.0,False,True,0.1,0.0,True,False,6.0,6.0,0.3379062576100488,0.6620937423899513,4.0,30.0,0.5,0.4,0.9,"12.0, 12.0"
163,R610,2023-05-16,915119,2,0,0,0,0.58,0.42,0.6,0.0,3.0,2.0,0.0,8.445099999999911,False,l,0.45420000000012806,,5.0,r,cpoke,False,12.0,3.0,False,0.001,0.05,0.001,0.001,0.001,0.4250975303832638,0.001,0.0,0.4290975303832638,0.4290975303832638,6.28982837181458,none,0.2,light,light,1.0,0.001,0.0,True,True,0.3,0.0,True,False,6.0,6.0,0.3379062576100488,0.6620937423899513,4.0,30.0,0.5,0.4,0.9,"12.0, 3.0"
164,R610,2023-05-16,915119,3,,1,,0.57,0.43,0.6,0.0,2.0,1.0,3.0,21.86940000000004,False,r,,0.5414000000000669,5.0,r,cpoke,False,12.0,3.0,False,0.001,0.05,0.001,0.001,0.001,0.6693630578641506,0.001,0.0,0.6733630578641506,0.6733630578641506,6.530978925196775,none,0.2,light,light,1.0,0.001,0.0,False,True,0.1,0.0,True,False,6.0,6.0,0.30873163998442577,0.6912683600155742,4.0,30.0,0.5,0.4,0.9,"12.0, 3.0"
165,R610,2023-05-16,915119,3,,1,,0.57,0.43,0.6,0.0,1.0,1.0,0.0,8.979299999999967,False,l,0.5473000000001775,,5.0,r,cpoke,False,3.0,12.0,False,0.001,0.05,0.001,0.001,0.001,0.6595088362701838,0.001,0.0,0.6635088362701838,0.6635088362701838,7.636398265327425,none,0.2,light,light,1.0,0.001,0.0,False,True,0.1,0.0,True,False,6.0,6.0,0.30873163998442577,0.6912683600155742,4.0,30.0,0.5,0.4,0.9,"3.0, 12.0"
166,R610,2023-05-16,915119,3,,1,,0.57,0.43,0.61,0.0,0.0,1.0,1.0,12.672700000000077,False,r,,0.42990000000008877,5.0,l,cpoke,True,3.0,3.0,False,0.001,0.05,0.001,0.001,0.001,0.8417709796580054,0.001,0.0,0.8457709796580054,0.8457709796580054,6.353940459321261,none,0.2,light,light,1.0,0.001,0.0,False,True,0.1,0.0,True,False,6.0,6.0,0.30873163998442577,0.6912683600155742,4.0,30.0,0.5,0.4,0.9,"3.0, 3.0"
