,trial,animal_id,date,sess_id,result,hits,violations,temperror,hit_rate,error_rate,violation_rate,temp_error_rate,n_lpokes,n_cpokes,n_rpokes,trial_dur,trial_start,valid_early_spoke,first_spoke,first_lpoke,first_rpoke,n_settling_ins,avg_settling_in,cpoke_dur,stage,curriculum,sides,SMA_set,is_match,sa,sb,stimuli_on,settling_in_dur,legal_cbreak_dur,pre_dur,adj_pre_dur,stimulus_dur,delay_dur,post_dur,sb_extra_dur,viol_off_dur,pre_go_dur,inter_trial_dur,go_type,go_dur,give_type_set,give_type_imp,give_frac,give_delay_dur,give_xtra_light_delay_dur,give_use,replay_on,timeouts,water_delivered,give_water_not_drunk,crash_hist,was_block_swtich,volume_multiplier,l_water_vol,r_water_vol,ab_l_prob,ab_r_prob,ab_beta,ab_tau,exp_del_tau,exp_del_min,exp_del_max,sound_pair,min_time_to_spoke
20,21,R015,2023-08-04,924420,1,1,0,0,1.0,0.0,0.55,0.0,8.0,1.0,0.0,67.21350000000007,1293.069904,False,l,3.3935999999998785,,1.0,,2.4868999999998778,9.0,JB_r_classic,l,cpoke,True,3.0,3.0,True,0.25,0.05,0.25,0.001,0.033,1.4940000000000002,0.25,0.0,2.0600000000000005,2.0600000000000005,2.0429239754983075,sound,0.2,water_and_light,water_and_light,1.0,0.001,0.0,True,True,,35.0,,False,0.0,0.4,35.0,35.0,0.5,0.5,3.0,30.0,1.25,1.0,2.0,"3.0, 3.0",3.3935999999998785
21,22,R015,2023-08-04,924420,3,,1,,1.0,0.0,0.52,0.0,0.0,2.0,0.0,44.13920000000007,1380.835604,False,n,,,1.0,,0.7412999999999101,9.0,JB_r_classic,l,cpoke,True,3.0,3.0,True,0.25,0.05,0.25,0.001,0.033,1.4940000000000002,0.25,0.0,2.0600000000000005,2.0600000000000005,1.0,sound,0.2,water_and_light,water_and_light,1.0,0.001,0.0,False,True,0.1,0.0,,False,0.0,0.4,35.0,35.0,0.5,0.5,3.0,30.0,1.25,1.0,2.0,"3.0, 3.0",
22,23,R015,2023-08-04,924420,3,,1,,1.0,0.0,0.55,0.0,0.0,2.0,1.0,24.14149999999995,1458.953304,False,n,,,1.0,,2.130300000000034,9.0,JB_r_classic,r,cpoke,False,3.0,12.0,True,0.25,0.05,0.25,0.001,0.033,1.4940000000000002,0.25,0.0,2.0600000000000005,2.0600000000000005,2.131726604664319,sound,0.2,water_and_light,water_and_light,1.0,0.001,0.0,False,True,0.1,0.0,,False,0.0,0.4,35.0,35.0,0.5,0.5,3.0,30.0,1.25,1.0,2.0,"3.0, 12.0",
23,24,R015,2023-08-04,924420,3,,1,,1.0,0.0,0.57,0.0,0.0,4.0,0.0,8.416899999999941,1515.304604,False,n,,,2.0,0.12439999999992324,0.5200000000002092,9.0,JB_r_classic,l,cpoke,True,12.0,12.0,True,0.25,0.05,0.25,0.001,0.033,1.4940000000000002,0.25,0.0,2.0600000000000005,2.0600000000000005,2.39323036485297,sound,0.2,water_and_light,water_and_light,1.0,0.001,0.0,False,True,0.1,0.0,,False,0.0,0.4,35.0,35.0,0.5,0.5,3.0,30.0,1.25,1.0,2.0,"12.0, 12.0",
24,25,R015,2023-08-04,924420,1,1,0,0,1.0,0.0,0.58,0.0,15.0,1.0,0.0,42.84979999999996,1550.835904,False,l,3.416099999999915,,1.0,,2.4303999999999633,9.0,JB_r_classic,l,cpoke,True,3.0,3.0,True,0.25,0.05,0.25,0.001,0.033,1.4940000000000002,0.25,0.0,2.0600000000000005,2.0600000000000005,1.473371499242024,sound,0.2,water_and_light,water_and_light,1.0,0.001,0.0,True,True,,35.0,,False,0.0,0.4,35.0,35.0,0.5,0.5,3.0,30.0,1.25,1.0,2.0,"3.0, 3.0",3.416099999999915
25,26,R015,2023-08-04,924420,3,,1,,1.0,0.0,0.56,0.0,0.0,3.0,0.0,4.884999999999991,1570.431904,False,n,,,1.0,,0.3531999999997879,9.0,JB_r_classic,l,cpoke,True,12.0,12.0,True,0.25,0.05,0.25,0.001,0.033,1.4940000000000002,0.25,0.0,2.0600000000000005,2.0600000000000005,2.096861328383537,sound,0.2,water_and_light,water_and_light,1.0,0.001,0.0,False,True,0.1,0.0,,False,0.0,0.4,35.0,35.0,0.5,0.5,3.0,30.0,1.25,1.0,2.0,"12.0, 12.0",
26,27,R015,2023-08-04,924420,3,,1,,1.0,0.0,0.58,0.0,0.0,2.0,0.0,8.946300000000065,1625.901704,False,n,,,1.0,,0.6824000000001433,9.0,JB_r_classic,r,cpoke,False,12.0,3.0,True,0.25,0.05,0.25,0.001,0.033,1.4940000000000002,0.25,0.0,2.0600000000000005,2.0600000000000005,1.7341003615739126,sound,0.2,water_and_light,water_and_light,1.0,0.001,0.0,False,True,0.1,0.0,,False,0.0,0.4,35.0,35.0,0.5,0.5,3.0,30.0,1.25,1.0,2.0,"12.0, 3.0",
27,28,R015,2023-08-04,924420,1,1,0,0,1.0,0.0,0.59,0.0,0.0,1.0,26.0,33.41229999999996,1641.817404,False,r,,4.045700000000124,1.0,,2.4730000000001837,9.0,JB_r_classic,r,cpoke,False,3.0,12.0,True,0.25,0.05,0.25,0.001,0.033,1.4940000000000002,0.25,0.0,2.0600000000000005,2.0600000000000005,3.1403607995402982,sound,0.2,water_and_light,water_and_light,1.0,0.001,0.0,True,True,,35.0,,False,0.0,0.4,35.0,35.0,0.5,0.5,3.0,30.0,1.25,1.0,2.0,"3.0, 12.0",4.045700000000124
28,29,R015,2023-08-04,924420,1,1,0,0,1.0,0.0,0.57,0.0,20.0,1.0,0.0,7.008199999999988,1662.832304,False,l,3.296299999999974,,1.0,,2.521600000000035,9.0,JB_r_classic,l,cpoke,True,12.0,12.0,True,0.25,0.05,0.25,0.001,0.033,1.4940000000000002,0.25,0.0,2.0600000000000005,2.0600000000000005,1.3114090327051384,sound,0.2,water_and_light,water_and_light,1.0,0.001,0.0,True,True,,35.0,,False,0.0,0.4,35.0,35.0,0.5,0.5,3.0,30.0,1.25,1.0,2.0,"12.0, 12.0",3.296299999999974
29,30,R015,2023-08-04,924420,1,1,0,0,1.0,0.0,0.55,0.0,0.0,1.0,25.0,7.243600000000015,1706.384904,False,r,,3.237100000000055,1.0,,2.5027999999999793,9.0,JB_r_classic,r,cpoke,False,12.0,3.0,True,0.25,0.05,0.25,0.001,0.033,1.4940000000000002,0.25,0.0,2.0600000000000005,2.0600000000000005,1.7034801261063426,sound,0.2,water_and_light,water_and_light,1.0,0.001,0.0,True,True,,35.0,,False,0.0,0.4,35.0,35.0,0.5,0.5,3.0,30.0,1.25,1.0,2.0,"12.0, 3.0",3.237100000000055
