animal_id,fix_experiment,stage,date,trial
R048,V1,7.0,2024-08-11,306
R048,V1,7.0,2024-08-12,394
R048,V1,7.0,2024-08-13,393
R048,V1,7.0,2024-08-14,356
R048,V1,7.0,2024-08-15,492
R048,V1,7.0,2024-08-16,432
R048,V1,7.0,2024-08-17,514
R048,V1,7.0,2024-08-18,549
R048,V1,7.0,2024-08-19,432
R048,V1,7.0,2024-08-20,422
R048,V1,7.0,2024-08-21,455
R048,V1,7.0,2024-08-22,530
R048,V1,7.0,2024-08-24,199
R048,V1,7.0,2024-08-25,408
R048,V1,7.0,2024-08-27,359
R048,V1,7.0,2024-08-28,396
R048,V1,7.0,2024-08-29,445
R048,V1,7.0,2024-08-30,351
R048,V1,7.0,2024-09-04,405
R048,V1,7.0,2024-09-05,357
R048,V1,7.0,2024-09-06,331
R048,V1,7.0,2024-09-07,388
R048,V1,7.0,2024-09-08,389
R048,V1,7.0,2024-09-11,497
R048,V1,7.0,2024-09-12,86
R048,V1,7.0,2024-09-13,361
R048,V1,7.0,2024-09-14,343
R048,V1,7.0,2024-09-15,413
R049,V2,5.0,2024-08-07,161
R049,V2,5.0,2024-08-09,360
R049,V2,6.0,2024-08-10,327
R049,V2,7.0,2024-08-11,354
R049,V2,7.0,2024-08-12,302
R049,V2,7.0,2024-08-13,330
R049,V2,7.0,2024-08-14,369
R049,V2,7.0,2024-08-15,304
R049,V2,7.0,2024-08-16,293
R049,V2,7.0,2024-08-17,369
R049,V2,8.0,2024-08-18,392
R050,V1,5.0,2024-08-06,503
R050,V1,6.0,2024-08-07,423
R050,V1,7.0,2024-08-08,596
R050,V1,7.0,2024-08-09,464
R050,V1,7.0,2024-08-10,459
R050,V1,7.0,2024-08-11,506
R050,V1,7.0,2024-08-12,373
R050,V1,7.0,2024-08-13,413
R050,V1,7.0,2024-08-14,215
R050,V1,7.0,2024-08-15,223
R050,V1,7.0,2024-08-16,342
R050,V1,7.0,2024-08-17,355
R050,V1,7.0,2024-08-18,320
R050,V1,7.0,2024-08-19,375
