date,animal_id,stage,days_relative_to_stage_5,fix_experiment,max_fixation_dur,trials,fixation_delta,valid_trials
2024-08-07,R056,7.0,3,V1,0.8774100000000008,386.0,0.07381000000000026,275.0
2024-08-07,R057,7.0,2,V2,0.9209815730337058,447.0,0.30184252111496734,447.0
2024-08-08,R040,7.0,7,V1,1.4251491507810274,312.0,0.26582710785911456,244.0
2024-08-08,R041,7.0,9,V2,1.863250331125836,151.0,0.16313699779251034,151.0
2024-08-08,R042,7.0,9,V1,1.7490801774080091,365.0,0.14967348745737663,271.0
2024-08-08,R045,7.0,9,V2,1.950105405405436,221.0,0.15607595086001624,221.0
2024-08-08,R046,7.0,9,V1,1.2059746636411313,311.0,0.10879919697578666,259.0
2024-08-08,R047,7.0,6,V2,0.9805216867469568,166.0,-0.46015248543844245,166.0
2024-08-08,R048,7.0,4,V1,0.9177000000000008,331.0,0.15310000000000035,229.0
2024-08-08,R050,7.0,2,V1,0.8501250000000008,422.0,0.3308750000000005,307.0
2024-08-08,R051,7.0,6,V2,1.9016954674220532,353.0,0.2385024294474074,353.0
2024-08-08,R052,7.0,7,V1,0.9263197976000008,350.0,-0.0682131984000004,262.0
2024-08-08,R053,7.0,4,V2,0.9193794520546792,146.0,0.09464456833370216,146.0
2024-08-08,R055,7.0,5,V2,1.3120800847457648,235.0,0.24327576375812,235.0
2024-08-08,R056,7.0,4,V1,0.937307500000001,291.0,0.05989750000000016,210.0
2024-08-08,R057,7.0,3,V2,1.291272727272725,353.0,0.37029115423901915,353.0
2024-08-09,R040,7.0,8,V1,1.491452428267495,410.0,0.06630327748646758,329.0
2024-08-09,R041,7.0,10,V2,2.058118686868667,198.0,0.19486835574283123,198.0
2024-08-09,R042,7.0,10,V1,1.9925846652184271,360.0,0.243504487810418,268.0
2024-08-09,R044,5.0,5,V1,0.014,7.0,0.003985600000000001,7.0
2024-08-09,R045,7.0,10,V2,2.073933797909369,287.0,0.12382839250393296,287.0
2024-08-09,R046,7.0,10,V1,1.563861645254439,436.0,0.3578869816133077,378.0
2024-08-09,R047,7.0,7,V2,1.252261655773376,459.0,0.27173996902641906,459.0
2024-08-09,R048,7.0,5,V1,0.9060050000000006,522.0,-0.011695000000000233,356.0
2024-08-09,R049,5.0,1,V2,0.4844385093168128,161.0,0.08343850931681279,161.0
2024-08-09,R050,7.0,3,V1,1.07773608121366,596.0,0.22761108121365925,399.0
2024-08-09,R051,7.0,7,V2,2.133099567099531,462.0,0.23140409967747777,462.0
2024-08-09,R052,7.0,8,V1,1.1845574691348375,438.0,0.2582376715348367,338.0
2024-08-09,R053,7.0,5,V2,1.030677397260382,146.0,0.1112979452057028,146.0
2024-08-09,R054,5.0,2,V1,0.010276,5.0,-0.020424,4.0
2024-08-09,R055,7.0,6,V2,1.63000763052205,249.0,0.31792754577628535,249.0
2024-08-09,R056,7.0,5,V1,0.9726460000000008,375.0,0.03533849999999983,292.0
2024-08-09,R057,7.0,4,V2,1.639026363636356,333.0,0.3477536363636311,333.0
2024-08-10,R040,7.0,9,V1,1.6640902929981132,353.0,0.17263786473061815,282.0
2024-08-10,R042,7.0,11,V1,2.421723979159528,380.0,0.42913931394110105,308.0
2024-08-10,R044,5.0,6,V1,0.01075,6.0,-0.003250000000000001,5.0
2024-08-10,R046,7.0,11,V1,1.7531224813327158,299.0,0.18926083607827682,279.0
2024-08-10,R047,7.0,8,V2,1.5143456692913306,254.0,0.26208401351795474,254.0
2024-08-10,R048,7.0,6,V1,0.9597537500000004,423.0,0.05374874999999979,320.0
