animal_id,fix_experiment,stage,date,hits
R044,V1,5.0,2024-08-13,1.0
R044,V1,5.0,2024-08-14,1.0
R044,V1,5.0,2024-08-16,0.5
R044,V1,5.0,2024-08-17,0.9761904761904762
R044,V1,6.0,2024-08-18,0.8352668213457076
R045,V2,5.0,2024-07-30,0.8813559322033898
R045,V2,6.0,2024-07-31,0.9541666666666667
R045,V2,6.0,2024-08-01,0.9664429530201343
R045,V2,7.0,2024-08-02,0.9832635983263598
R045,V2,7.0,2024-08-03,0.9532967032967034
R045,V2,7.0,2024-08-04,0.9538904899135446
R045,V2,7.0,2024-08-05,0.9719626168224299
R045,V2,7.0,2024-08-06,0.9708029197080292
R045,V2,7.0,2024-08-07,0.9773755656108597
R045,V2,7.0,2024-08-08,0.9721254355400697
R045,V2,7.0,2024-08-09,0.9847328244274809
R045,V2,8.0,2024-08-10,0.9839228295819936
R046,V1,5.0,2024-07-30,0.9365671641791045
R046,V1,6.0,2024-07-31,0.9009433962264151
R046,V1,7.0,2024-08-01,0.9705882352941176
R046,V1,7.0,2024-08-02,0.9195979899497487
R046,V1,7.0,2024-08-03,0.9365558912386707
R046,V1,7.0,2024-08-04,0.9706959706959707
R046,V1,7.0,2024-08-05,1.0
R046,V1,7.0,2024-08-06,0.9690265486725663
R046,V1,7.0,2024-08-07,0.9806949806949807
R046,V1,7.0,2024-08-08,0.9708994708994709
R046,V1,7.0,2024-08-09,0.985663082437276
R046,V1,7.0,2024-08-10,0.9873949579831933
R046,V1,7.0,2024-08-11,0.9707317073170731
R047,V2,5.0,2024-08-01,0.9554455445544554
R047,V2,6.0,2024-08-02,0.9961685823754789
R047,V2,7.0,2024-08-03,0.9731543624161074
R047,V2,7.0,2024-08-04,0.9615384615384616
R047,V2,7.0,2024-08-05,0.9933554817275747
R047,V2,7.0,2024-08-06,0.9818181818181818
R047,V2,7.0,2024-08-08,0.9890829694323144
R047,V2,7.0,2024-08-09,0.9921259842519685
R047,V2,7.0,2024-08-10,0.9900990099009901
R047,V2,7.0,2024-08-12,0.9869281045751634
R047,V2,7.0,2024-08-13,1.0
R047,V2,7.0,2024-08-17,0.9943977591036415
R047,V2,7.0,2024-08-18,0.9926289926289926
R047,V2,7.0,2024-08-19,0.9921052631578947
R047,V2,7.0,2024-08-20,0.0
R047,V2,7.0,2024-08-21,0.9879518072289156
R047,V2,7.0,2024-08-22,0.9971181556195965
R047,V2,7.0,2024-08-23,1.0
R047,V2,7.0,2024-08-24,0.9818181818181818
R047,V2,7.0,2024-08-25,0.9969512195121951
R047,V2,7.0,2024-08-26,0.9857651245551602
R047,V2,7.0,2024-08-27,0.9923664122137404
R047,V2,8.0,2024-08-28,0.9871794871794872
R048,V1,5.0,2024-08-04,0.9169054441260746
R048,V1,6.0,2024-08-05,0.9298780487804879
R048,V1,7.0,2024-08-06,0.8357664233576643
R048,V1,7.0,2024-08-07,0.8552631578947368
R048,V1,7.0,2024-08-08,0.8792134831460674
R048,V1,7.0,2024-08-09,0.9216300940438872
R048,V1,7.0,2024-08-10,0.9556313993174061
R048,V1,7.0,2024-08-11,0.8888888888888888
R048,V1,7.0,2024-08-12,0.8666666666666667
R048,V1,7.0,2024-08-13,0.855072463768116
R048,V1,7.0,2024-08-14,0.8693467336683417
R048,V1,7.0,2024-08-15,0.9014084507042254
R048,V1,7.0,2024-08-16,0.8633093525179856
R048,V1,7.0,2024-08-17,0.9041533546325878
R048,V1,7.0,2024-08-18,0.8761329305135952
R048,V1,7.0,2024-08-19,0.9185185185185185
R048,V1,7.0,2024-08-20,0.8375
R048,V1,7.0,2024-08-21,0.8342245989304813
R048,V1,7.0,2024-08-22,0.8687782805429864
R048,V1,7.0,2024-08-24,0.918918918918919
R048,V1,7.0,2024-08-25,0.9373297002724795
R048,V1,7.0,2024-08-27,0.8907849829351536
R048,V1,7.0,2024-08-28,0.8344370860927153
R048,V1,7.0,2024-08-29,0.8503937007874016
R048,V1,7.0,2024-08-30,0.8382352941176471
R048,V1,7.0,2024-09-04,0.8024316109422492
R048,V1,7.0,2024-09-05,0.9096989966555183
R048,V1,7.0,2024-09-06,0.8321167883211679
R048,V1,7.0,2024-09-07,0.9415204678362573
R048,V1,7.0,2024-09-08,0.8463949843260188
R048,V1,7.0,2024-09-11,0.90625
R048,V1,7.0,2024-09-12,0.9459459459459459
R048,V1,7.0,2024-09-13,0.9075907590759076
R048,V1,7.0,2024-09-14,0.9728813559322034
R048,V1,7.0,2024-09-15,0.9339080459770115
R049,V2,5.0,2024-08-07,0.8238993710691824
R049,V2,5.0,2024-08-09,0.9583333333333334
R049,V2,6.0,2024-08-10,0.9480122324159022
R049,V2,7.0,2024-08-11,0.9575070821529745
R049,V2,7.0,2024-08-12,0.9139072847682119
R049,V2,7.0,2024-08-13,0.9303030303030303
R049,V2,7.0,2024-08-14,0.9320652173913043
R049,V2,7.0,2024-08-15,0.976897689768977
R049,V2,7.0,2024-08-16,0.9829351535836177
R049,V2,7.0,2024-08-17,0.9728997289972899
R049,V2,8.0,2024-08-18,0.9879518072289156
R050,V1,5.0,2024-08-06,0.9243986254295533
R050,V1,6.0,2024-08-07,0.9641693811074918
R050,V1,7.0,2024-08-08,0.9371859296482412
R050,V1,7.0,2024-08-09,0.9093137254901961
R050,V1,7.0,2024-08-10,0.9040404040404041
R050,V1,7.0,2024-08-11,0.9288990825688074
R050,V1,7.0,2024-08-12,0.9663608562691132
R050,V1,7.0,2024-08-13,0.9970674486803519
R050,V1,7.0,2024-08-14,0.9943502824858758
R050,V1,7.0,2024-08-15,0.9171597633136095
R050,V1,7.0,2024-08-16,0.9605734767025089
R050,V1,7.0,2024-08-17,0.9875389408099688
R050,V1,7.0,2024-08-18,0.981203007518797
R050,V1,7.0,2024-08-19,0.9877675840978594
R050,V1,7.0,2024-08-20,0.9902597402597403
R050,V1,7.0,2024-08-21,0.974910394265233
R050,V1,7.0,2024-08-22,0.9747292418772563
R050,V1,7.0,2024-08-23,0.9385964912280702
R050,V1,7.0,2024-08-24,0.9768211920529801
