animal_id,date,rigid,n_done_trials,n_sessions,start_time,train_dur_hrs,trial_rate,hit_rate,viol_rate,side_bias,mass,tech,percent_target,pub_volume,rig_volume,volume_target,water_diff
R024,2024-01-17,Rig19,151.0,1,06:56:26,4.54,33.26,0.79,0.04,-0.0699999999999999,418.5,JM,0.0,0.0,5.13,12.56,-7.430000000000001
R025,2024-01-17,Rig12,212.0,1,06:56:21,4.53,46.8,0.9,0.4600000000000001,-0.0699999999999999,314.1,JM,0.0,0.0,2.6,9.42,-6.82
R026,2024-01-17,Rig22,179.0,1,06:56:32,4.55,39.34,0.75,0.18,0.06,386.7,JM,0.0,0.0,4.4,11.6,-7.199999999999999
R027,2024-01-17,Rig24,102.0,1,06:56:31,4.56,22.37,0.95,0.28,0.0799999999999999,399.5,JM,0.0,0.0,2.415,11.98,-9.565
R028,2024-01-17,Rig06,146.0,1,06:56:02,4.51,32.37,0.78,0.1,0.05,423.3,JM,0.0,0.0,4.08,12.7,-8.62
R029,2024-01-17,Rig09,103.0,1,06:56:13,4.52,22.79,0.59,0.22,0.32,408.7,JM,0.0,0.0,2.493,12.26,-9.767
R020,2024-01-18,Rig08,147.0,1,05:25:06,1.94,75.77,0.7,0.08,0.14,434.8,AB,0.0,0.0,3.76,13.04,-9.28
R021,2024-01-18,Rig09,62.0,1,05:25:07,1.94,31.96,0.62,0.23,-0.08,378.5,AB,0.0,0.0,1.35,11.36,-10.01
R022,2024-01-18,Rig16,135.0,1,05:24:41,1.96,68.88,0.61,0.14,-0.05,441.6,AB,0.0,0.0,2.84,13.25,-10.41
R023,2024-01-18,Rig18,121.0,1,05:24:36,1.96,61.73,0.91,0.16,-0.0799999999999999,359.9,AB,0.0,0.0,4.65,10.8,-6.15
R024,2024-01-18,Rig19,202.0,1,07:30:56,3.75,53.87,0.81,0.05,-0.0499999999999999,407.7,AB,0.0,0.0,7.02,12.23,-5.210000000000001
R025,2024-01-18,Rig12,168.0,1,07:29:53,3.76,44.68,0.92,0.29,0.0399999999999999,309.8,AB,0.0,0.0,2.75,9.29,-6.539999999999999
R026,2024-01-18,Rig22,163.0,1,07:30:53,3.76,43.35,0.77,0.19,-0.1099999999999999,381.9,AB,0.0,0.0,4.04,11.46,-7.420000000000001
R027,2024-01-18,Rig24,92.0,1,07:30:53,3.76,24.47,0.9,0.43,0.0999999999999999,392.8,AB,0.0,0.0,1.645,11.78,-10.135
R028,2024-01-18,Rig06,209.0,1,07:36:25,3.62,57.73,0.81,0.1599999999999999,-0.01,416.3,AB,0.0,0.0,5.68,12.49,-6.8100000000000005
R029,2024-01-18,Rig09,152.0,1,07:36:28,3.62,41.99,0.83,0.31,0.0899999999999999,401.5,AB,0.0,0.0,3.915,12.04,-8.125
R020,2024-01-19,Rig08,126.0,1,05:26:00,1.93,65.28,0.68,0.12,0.0399999999999999,435.7,AB,0.0,0.0,3.0,13.07,-10.07
R021,2024-01-19,Rig09,51.0,1,05:26:01,1.93,26.42,0.59,0.2,-0.0699999999999999,381.5,AB,0.0,0.0,1.08,11.44,-10.36
R022,2024-01-19,Rig16,116.0,1,05:25:34,1.95,59.49,0.58,0.09,0.0499999999999999,442.7,AB,0.0,0.0,2.44,13.28,-10.84
R023,2024-01-19,Rig18,88.0,1,05:25:28,1.95,45.13,0.88,0.22,-0.13,360.5,AB,0.0,0.0,2.44,10.82,-8.38
R024,2024-01-19,Rig19,179.0,1,07:29:05,4.52,39.6,0.76,0.04,-0.09,409.4,AB,0.0,0.0,5.85,12.28,-6.43
R025,2024-01-19,Rig12,129.0,1,07:28:58,4.53,28.48,0.8,0.37,-0.01,313.5,AB,0.0,0.0,1.625,9.4,-7.775
R026,2024-01-19,Rig22,127.0,1,07:30:12,4.53,28.04,0.78,0.17,0.0799999999999999,383.5,AB,0.0,0.0,3.28,11.5,-8.22
R027,2024-01-19,Rig24,161.0,1,07:30:11,4.52,35.62,0.95,0.32,-0.0499999999999999,394.7,AB,0.0,0.0,3.675,11.84,-8.165
R028,2024-01-19,Rig06,209.0,1,07:30:52,4.53,46.14,0.82,0.1099999999999999,0.0099999999999998,419.3,AB,0.0,0.0,6.04,12.58,-6.54
R029,2024-01-19,,,0,,0.0,,,,,405.1,AB,0.0,0.0,0.0,12.15,-12.15
R020,2024-01-20,Rig08,78.0,1,06:10:49,1.49,52.35,0.68,0.13,0.0199999999999999,446.6,JM,0.0,0.0,1.84,13.4,-11.56
R020,2024-01-21,Rig08,112.0,1,06:11:08,1.45,77.24,0.72,0.06,-0.03,445.2,JM,0.0,0.0,3.04,13.36,-10.32
R021,2024-01-20,Rig09,36.0,1,06:13:47,1.43,25.17,0.67,0.08,0.0,389.1,JM,0.0,0.0,0.66,11.67,-11.01
R021,2024-01-21,Rig09,68.0,1,06:12:38,1.42,47.89,0.69,0.24,0.3199999999999999,382.6,JM,0.0,0.0,1.08,11.48,-10.4
R022,2024-01-20,Rig16,86.0,1,06:11:07,1.47,58.5,0.71,0.07,0.16,449.7,JM,0.0,0.0,2.28,13.49,-11.21
R022,2024-01-21,,,0,,0.0,,,,,446.6,JM,0.0,0.0,0.0,13.4,-13.4
R023,2024-01-20,Rig18,72.0,1,06:10:18,1.48,48.65,0.89,0.15,-0.09,369.1,JM,0.0,0.0,2.16,11.07,-8.91
R023,2024-01-21,Rig18,95.0,1,06:10:31,1.45,65.52,0.93,0.1099999999999999,-0.1099999999999999,365.1,JM,0.0,0.0,3.16,10.95,-7.789999999999999
R024,2024-01-20,Rig19,119.0,1,07:47:54,3.3,36.06,0.86,0.07,-0.1099999999999999,420.3,JM,0.0,0.0,4.275,12.61,-8.334999999999999
R024,2024-01-21,Rig19,167.0,1,07:48:15,3.31,50.45,0.82,0.02,-0.16,412.6,JM,0.0,0.0,6.03,12.38,-6.3500000000000005
R025,2024-01-20,Rig12,82.0,1,07:47:39,3.31,24.77,0.38,0.13,0.21,319.5,JM,0.0,0.0,0.81,9.58,-8.77
R025,2024-01-21,Rig12,120.0,1,07:48:07,3.32,36.14,0.11,0.16,0.26,317.1,JM,0.0,0.0,0.33,9.51,-9.18
R026,2024-01-20,Rig22,79.0,1,07:48:38,3.3,23.94,0.91,0.19,0.04,389.5,JM,0.0,0.0,2.0615,11.68,-9.6185
R026,2024-01-21,Rig22,120.0,1,07:49:00,3.31,36.25,0.84,0.09,0.0899999999999999,384.4,JM,0.0,0.0,3.2725,11.53,-8.2575
R027,2024-01-20,Rig24,90.0,1,07:48:37,3.3,27.27,0.98,0.43,-0.03,404.8,JM,0.0,0.0,1.75,12.14,-10.39
R027,2024-01-21,Rig24,118.0,1,07:48:59,3.31,35.65,0.94,0.41,-0.01,401.9,JM,0.0,0.0,2.31,12.06,-9.75
R028,2024-01-20,Rig06,136.0,1,07:49:11,3.3,41.21,0.84,0.18,-0.04,426.7,JM,0.0,0.0,3.76,12.8,-9.04
R028,2024-01-21,Rig06,165.0,1,07:49:26,3.3,50.0,0.8,0.07,0.0399999999999999,428.1,JM,0.0,0.0,4.92,12.84,-7.92
R029,2024-01-20,Rig09,77.0,1,07:49:29,3.3,23.33,0.83,0.39,-0.14,416.2,JM,0.0,0.0,1.755,12.49,-10.735
R029,2024-01-21,Rig09,187.0,1,07:51:03,3.27,57.19,0.85,0.26,0.08,412.7,JM,0.0,0.0,5.265,12.38,-7.115000000000001
R020,2024-01-22,Rig08,78.0,1,04:56:04,1.76,44.32,0.69,0.1,-0.18,444.2,JM,0.0,0.0,1.92,13.33,-11.41
R021,2024-01-22,Rig09,87.0,1,05:00:51,1.68,51.79,0.65,0.15,0.04,381.7,JM,0.0,0.0,1.44,11.45,-10.01
R022,2024-01-22,Rig16,158.0,1,04:56:01,1.75,90.29,0.59,0.03,0.24,440.8,JM,0.0,0.0,3.15,13.22,-10.07
R023,2024-01-22,Rig18,99.0,1,04:55:24,1.76,56.25,0.71,0.1,0.01,367.6,JM,0.0,0.0,2.331,11.03,-8.699
R024,2024-01-22,Rig19,151.0,1,06:57:10,4.0,37.75,0.82,0.02,-0.0999999999999999,415.4,JM,0.0,0.0,5.49,12.46,-6.970000000000001
R025,2024-01-22,Rig12,191.0,1,06:58:17,3.98,47.99,0.89,0.39,-0.08,316.3,JM,0.0,0.0,3.12,9.49,-6.37
R026,2024-01-22,Rig22,108.0,1,06:57:15,4.02,26.87,0.8199999999999998,0.0899999999999999,0.0699999999999999,387.3,JM,0.0,0.0,2.842,11.62,-8.777999999999999
R027,2024-01-22,Rig24,114.0,1,06:57:14,4.01,28.43,0.9,0.49,-0.03,400.9,JM,0.0,0.0,1.82,12.03,-10.21
R028,2024-01-22,Rig06,237.0,1,06:56:55,4.04,58.66,0.78,0.16,0.05,427.2,JM,0.0,0.0,6.24,12.82,-6.58
R029,2024-01-22,Rig09,76.0,1,06:57:03,4.03,18.86,0.79,0.05,0.26,415.9,JM,0.0,0.0,2.565,12.48,-9.915
R020,2024-01-23,Rig08,69.0,1,04:57:11,1.7,40.59,0.65,0.13,0.0999999999999999,447.7,JM,0.0,0.0,1.56,13.43,-11.87
R021,2024-01-23,Rig09,51.0,1,05:00:00,1.65,30.91,0.68,0.22,0.36,382.7,JM,0.0,0.0,0.81,11.48,-10.67
R022,2024-01-23,Rig16,149.0,1,04:59:39,1.65,90.3,0.58,0.07,0.0799999999999999,442.6,JM,0.0,0.0,2.835,13.28,-10.445
R023,2024-01-23,Rig18,174.0,1,04:56:39,1.7,102.35,0.63,0.06,0.13,366.3,JM,0.0,0.0,3.811,10.99,-7.179
R024,2024-01-23,Rig19,55.0,1,06:55:04,4.29,12.82,0.75,0.04,-0.1599999999999999,429.5,JM,0.0,0.0,1.8,12.88,-11.08
R025,2024-01-23,Rig12,34.0,1,06:55:23,4.25,8.0,0.71,0.29,-0.37,325.3,JM,0.0,0.0,0.51,9.76,-9.25
R026,2024-01-23,Rig22,217.0,1,06:55:12,4.28,50.7,0.79,0.0899999999999999,-0.12,384.9,JM,0.0,0.0,5.558,11.55,-5.992000000000001
R027,2024-01-23,Rig24,116.0,1,06:55:10,4.28,27.1,0.91,0.4,-0.0799999999999999,404.1,JM,0.0,0.0,2.24,12.12,-9.88
R028,2024-01-23,Rig06,140.0,1,06:55:35,4.23,33.1,0.83,0.16,0.0399999999999999,426.1,JM,0.0,0.0,3.88,12.78,-8.899999999999999
R029,2024-01-23,Rig09,105.0,1,06:55:30,4.23,24.82,0.76,0.1,0.2199999999999999,414.7,JM,0.0,0.0,3.195,12.44,-9.245
