mass,weighing,date,ratname,tech,timeval
19.22,1086583,2022-08-21,Y501,ER,0 days 10:21:08
23.66,1086585,2022-08-21,Y502,ER,0 days 10:23:06
20.55,1086755,2022-08-22,R501,ER,0 days 07:56:19
23.92,1086778,2022-08-22,Y502,ER,0 days 10:19:47
18.99,1086780,2022-08-22,Y501,ER,0 days 10:21:25
20.49,1086964,2022-08-23,R501,JL,0 days 08:13:36
23.51,1086971,2022-08-23,Y502,JL,0 days 10:28:37
18.95,1086972,2022-08-23,Y501,JL,0 days 10:29:24
20.87,1087146,2022-08-24,R501,JY,0 days 11:32:24
20.06,1087153,2022-08-24,Y501,JY,0 days 15:38:15
25.15,1087156,2022-08-24,Y502,JY,0 days 15:41:08
20.58,1087343,2022-08-25,R501,JL,0 days 08:20:40
19.21,1087352,2022-08-25,Y501,JL,0 days 10:33:45
23.75,1087356,2022-08-25,Y502,JL,0 days 10:35:32
20.60,1087539,2022-08-26,R501,JL,0 days 08:33:29
18.88,1087545,2022-08-26,Y501,JL,0 days 10:48:05
23.84,1087546,2022-08-26,Y502,JL,0 days 10:49:00
20.62,1087720,2022-08-27,R501,ER,0 days 08:21:34
23.87,1087740,2022-08-27,Y502,ER,0 days 10:41:54
18.74,1087742,2022-08-27,Y501,ER,0 days 10:44:34
20.73,1087908,2022-08-28,R501,ER,0 days 07:51:29
18.61,1087930,2022-08-28,Y501,ER,0 days 10:10:27
23.52,1087931,2022-08-28,Y502,ER,0 days 10:11:15
20.64,1088101,2022-08-29,R501,ER,0 days 07:48:57
23.53,1088123,2022-08-29,Y502,ER,0 days 10:12:27
18.55,1088124,2022-08-29,Y501,ER,0 days 10:13:32
20.76,1088311,2022-08-30,R501,JL,0 days 08:11:14
23.64,1088315,2022-08-30,Y502,JL,0 days 10:27:16
18.40,1088316,2022-08-30,Y501,JL,0 days 10:27:45
20.81,1088498,2022-08-31,R501,JL,0 days 08:12:26
18.58,1088504,2022-08-31,Y501,JL,0 days 10:26:49
23.82,1088506,2022-08-31,Y502,JL,0 days 10:28:18
20.92,1088689,2022-09-01,R501,JL,0 days 08:15:58
20.76,1088880,2022-09-02,R501,JL,0 days 08:06:05
23.83,1088888,2022-09-02,Y502,JL,0 days 10:20:44
19.10,1088891,2022-09-02,Y501,JL,0 days 10:22:14
22.08,1089252,2022-09-04,R501,ER,0 days 09:58:59
23.53,1089268,2022-09-04,Y502,ER,0 days 12:22:05
19.38,1089271,2022-09-04,Y501,ER,0 days 12:24:28
22.17,1089420,2022-09-05,R501,ER,0 days 07:43:03
24.15,1089448,2022-09-05,Y502,ER,0 days 10:02:29
19.43,1089450,2022-09-05,Y501,ER,0 days 10:04:39
23.40,1089611,2022-09-06,R501,JL,0 days 07:13:59
24.60,1089644,2022-09-06,Y502,JL,0 days 09:30:22
19.30,1089645,2022-09-06,Y501,JL,0 days 09:30:57
21.44,1089825,2022-09-07,R501,JL,0 days 09:23:19
24.33,1089829,2022-09-07,Y502,JL,0 days 11:37:58
19.31,1089831,2022-09-07,Y501,JL,0 days 11:39:14
21.31,1089991,2022-09-08,R501,JL,0 days 08:06:17
24.81,1089998,2022-09-08,Y502,JL,0 days 10:20:41
19.20,1089999,2022-09-08,Y501,JL,0 days 10:21:14
21.35,1090197,2022-09-09,R501,JL,0 days 09:28:25
19.16,1090209,2022-09-09,Y501,JL,0 days 11:41:57
24.70,1090213,2022-09-09,Y502,JL,0 days 11:44:08
21.14,1090360,2022-09-10,R501,ER,0 days 07:41:42
18.99,1090366,2022-09-10,Y501,ER,0 days 10:01:21
24.63,1090367,2022-09-10,Y502,ER,0 days 10:02:11
21.01,1090546,2022-09-11,R501,ER,0 days 07:49:15
18.80,1090570,2022-09-11,Y501,ER,0 days 10:08:28
24.16,1090573,2022-09-11,Y502,ER,0 days 10:10:41
21.00,1090729,2022-09-12,R501,ER,0 days 07:37:25
18.71,1090752,2022-09-12,Y501,ER,0 days 09:58:52
24.32,1090753,2022-09-12,Y502,ER,0 days 09:59:55
20.99,1090934,2022-09-13,R501,JL,0 days 09:02:53
24.37,1090941,2022-09-13,Y502,JL,0 days 11:15:56
18.78,1090942,2022-09-13,Y501,JL,0 days 11:16:37
20.79,1091123,2022-09-14,R501,JL,0 days 09:24:28
19.08,1091129,2022-09-14,Y501,JL,0 days 11:37:08
24.19,1091130,2022-09-14,Y502,JL,0 days 11:37:42
20.57,1091304,2022-09-15,R501,JL,0 days 09:40:31
19.22,1091320,2022-09-15,Y501,JL,0 days 11:52:47
24.50,1091321,2022-09-15,Y502,JL,0 days 11:53:23
20.57,1091493,2022-09-16,R501,JL,0 days 08:53:51
24.40,1091508,2022-09-16,Y502,JL,0 days 11:05:49
19.60,1091512,2022-09-16,Y501,JL,0 days 11:09:14
20.20,1091659,2022-09-17,R501,ER,0 days 07:47:01
24.45,1091683,2022-09-17,Y502,ER,0 days 10:06:04
19.26,1091684,2022-09-17,Y501,ER,0 days 10:07:26
20.48,1091843,2022-09-18,R501,ER,0 days 07:49:19
19.21,1091865,2022-09-18,Y501,ER,0 days 10:10:38
24.23,1091868,2022-09-18,Y502,ER,0 days 10:12:32
20.49,1092026,2022-09-19,R501,EF,0 days 07:47:36
19.52,1092049,2022-09-19,Y501,ER,0 days 10:06:03
24.02,1092050,2022-09-19,Y502,ER,0 days 10:06:45
20.61,1092227,2022-09-20,R501,JL,0 days 08:44:29
19.81,1092244,2022-09-20,Y501,JL,0 days 10:59:44
24.29,1092245,2022-09-20,Y502,JL,0 days 11:00:19
20.61,1092410,2022-09-21,R501,JL,0 days 09:01:45
19.62,1092422,2022-09-21,Y501,JL,0 days 11:15:49
24.36,1092423,2022-09-21,Y502,JL,0 days 11:16:35
20.56,1092590,2022-09-22,R501,JL,0 days 08:39:28
24.20,1092604,2022-09-22,Y502,JL,0 days 10:52:53
19.34,1092606,2022-09-22,Y501,JL,0 days 10:54:10
20.49,1092759,2022-09-23,R501,JY,0 days 10:18:25
24.09,1092764,2022-09-23,Y502,JY,0 days 12:37:12
19.54,1092766,2022-09-23,Y501,JY,0 days 12:39:03
21.11,1092913,2022-09-24,R501,ER,0 days 07:49:47
19.76,1092934,2022-09-24,Y501,ER,0 days 10:07:41
24.30,1092935,2022-09-24,Y502,ER,0 days 10:08:39
20.90,1093088,2022-09-25,R501,ER,0 days 07:43:23
19.56,1093110,2022-09-25,Y501,ER,0 days 10:01:44
24.42,1093113,2022-09-25,Y502,ER,0 days 10:04:13
20.85,1093244,2022-09-26,R501,ER,0 days 08:11:02
0.00,1093387,2022-09-27,R501,FW,0 days 14:28:43
0.00,1093433,2022-09-27,Y501,FW,0 days 14:28:43
0.00,1093434,2022-09-27,Y502,FW,0 days 14:28:43
0.00,1093509,2022-09-28,R501,FW,0 days 23:51:58
0.00,1093514,2022-09-28,Y501,FW,0 days 23:51:58
0.00,1093515,2022-09-28,Y502,FW,0 days 23:51:58
21.39,1093590,2022-09-29,R501,ER,0 days 08:52:16
20.47,1093613,2022-09-29,Y501,ER,0 days 11:14:06
25.33,1093616,2022-09-29,Y502,ER,0 days 11:16:49
21.53,1093785,2022-09-30,R501,ER,0 days 08:38:36
19.54,1093801,2022-09-30,Y501,ER,0 days 11:06:32
24.38,1093804,2022-09-30,Y502,ER,0 days 11:08:22
21.90,1093955,2022-10-01,R501,ER,0 days 07:51:52
23.78,1093982,2022-10-01,Y502,ER,0 days 10:12:29
19.17,1093985,2022-10-01,Y501,ER,0 days 10:14:59
22.07,1094144,2022-10-02,R501,ER,0 days 07:52:32
19.17,1094167,2022-10-02,Y501,ER,0 days 10:10:34
23.55,1094168,2022-10-02,Y502,ER,0 days 10:11:34
21.87,1094329,2022-10-03,R501,ER,0 days 07:51:24
23.25,1094352,2022-10-03,Y502,ER,0 days 10:12:02
19.13,1094354,2022-10-03,Y501,ER,0 days 10:13:51
22.00,1094544,2022-10-04,R501,JB,0 days 12:02:28
23.15,1094724,2022-10-05,R501,JL,0 days 09:44:29
21.39,1094739,2022-10-05,Y501,JL,0 days 11:55:52
25.32,1094745,2022-10-05,Y502,JL,0 days 11:58:19
22.31,1094897,2022-10-06,R501,JL,0 days 08:36:37
25.16,1094919,2022-10-06,Y502,JL,0 days 10:58:39
20.96,1094925,2022-10-06,Y501,JL,0 days 11:00:54
22.10,1095101,2022-10-07,R501,JL,0 days 08:33:48
24.80,1095108,2022-10-07,Y502,JL,0 days 10:36:07
20.75,1095109,2022-10-07,Y501,JL,0 days 10:36:38
21.97,1095267,2022-10-08,R501,ER,0 days 08:01:27
24.60,1095289,2022-10-08,Y502,ER,0 days 10:25:45
20.64,1095290,2022-10-08,Y501,ER,0 days 10:26:26
0.00,1095566,2022-10-09,R501,FW,0 days 23:52:39
22.67,1095625,2022-10-10,R501,ER,0 days 07:55:35
21.50,1095647,2022-10-10,Y501,ER,0 days 10:14:51
24.15,1095648,2022-10-10,Y502,ER,0 days 10:15:55
22.51,1095821,2022-10-11,R501,JL,0 days 09:15:49
24.07,1095838,2022-10-11,Y502,JL,0 days 11:48:13
21.09,1095841,2022-10-11,Y501,JL,0 days 11:49:49
22.29,1096005,2022-10-12,R501,JL,0 days 09:06:41
23.70,1096019,2022-10-12,Y502,JL,0 days 11:27:42
21.23,1096022,2022-10-12,Y501,JL,0 days 11:29:27
22.03,1096184,2022-10-13,R501,JL,0 days 08:42:53
21.15,1096199,2022-10-13,Y501,JL,0 days 11:03:10
23.73,1096200,2022-10-13,Y502,JL,0 days 11:04:03
22.14,1096360,2022-10-14,R501,JL,0 days 09:50:29
24.01,1096381,2022-10-14,Y502,JL,0 days 12:08:01
21.27,1096383,2022-10-14,Y501,JL,0 days 12:09:20
0.00,1096642,2022-10-15,R501,FW,0 days 23:52:03
0.00,1096645,2022-10-15,Y502,FW,0 days 23:52:03
23.49,1096699,2022-10-16,R501,ER,0 days 07:35:35
22.80,1096724,2022-10-16,Y501,ER,0 days 09:59:04
25.20,1096728,2022-10-16,Y502,ER,0 days 10:01:34
23.60,1096881,2022-10-17,R501,ER,0 days 07:43:22
22.52,1096903,2022-10-17,Y501,ER,0 days 10:03:07
25.21,1096906,2022-10-17,Y502,ER,0 days 10:05:30
23.38,1097076,2022-10-18,R501,JL,0 days 08:56:34
25.27,1097093,2022-10-18,Y502,JL,0 days 11:16:10
22.35,1097094,2022-10-18,Y501,JL,0 days 11:16:38
23.03,1097265,2022-10-19,R501,JL,0 days 08:42:58
22.21,1097278,2022-10-19,Y501,JL,0 days 11:09:49
24.79,1097279,2022-10-19,Y502,JL,0 days 11:10:20
23.17,1097446,2022-10-20,R501,JL,0 days 08:31:33
24.71,1097461,2022-10-20,Y502,JL,0 days 11:07:40
21.85,1097463,2022-10-20,Y501,JL,0 days 11:09:11
23.00,1097624,2022-10-21,R501,JL,0 days 08:37:51
24.92,1097640,2022-10-21,Y502,JL,0 days 11:00:45
21.68,1097642,2022-10-21,Y501,JL,0 days 11:02:04
22.89,1097789,2022-10-22,R501,ER,0 days 07:37:16
24.60,1097816,2022-10-22,Y502,ER,0 days 10:06:39
21.59,1097817,2022-10-22,Y501,ER,0 days 10:06:53
22.81,1097971,2022-10-23,R501,ER,0 days 07:21:33
24.64,1097995,2022-10-23,Y502,ER,0 days 09:51:53
21.82,1097996,2022-10-23,Y501,ER,0 days 09:52:43
22.79,1098171,2022-10-24,R501,JY,0 days 12:07:45
24.20,1098177,2022-10-24,Y502,JY,0 days 12:17:47
21.53,1098178,2022-10-24,Y501,JY,0 days 12:18:55
23.13,1098341,2022-10-25,R501,JL,0 days 08:27:19
24.72,1098356,2022-10-25,Y502,JL,0 days 10:48:23
21.34,1098359,2022-10-25,Y501,JL,0 days 10:49:50
23.11,1098519,2022-10-26,R501,JL,0 days 08:36:58
25.10,1098534,2022-10-26,Y502,JL,0 days 10:51:50
21.12,1098538,2022-10-26,Y501,JL,0 days 10:54:08
22.98,1098693,2022-10-27,R501,JL,0 days 08:38:04
20.88,1098707,2022-10-27,Y501,JL,0 days 10:55:48
25.00,1098708,2022-10-27,Y502,JL,0 days 10:56:49
22.90,1098867,2022-10-28,R501,JL,0 days 08:20:18
20.83,1098871,2022-10-28,Y501,JL,0 days 10:36:14
24.86,1098874,2022-10-28,Y502,JL,0 days 10:38:52
22.50,1099009,2022-10-29,R501,ER,0 days 08:46:39
0.00,1099017,2022-10-29,Y501,FW,0 days 23:51:39
0.00,1099018,2022-10-29,Y502,FW,0 days 23:51:39
22.56,1099066,2022-10-30,R501,ER,0 days 08:38:43
0.00,1099147,2022-10-30,Y501,FW,0 days 23:51:58
0.00,1099148,2022-10-30,Y502,FW,0 days 23:51:58
22.53,1099198,2022-10-31,R501,JY,0 days 10:23:01
0.00,1099313,2022-10-31,Y501,FW,0 days 23:51:39
0.00,1099314,2022-10-31,Y502,FW,0 days 23:51:39
22.44,1099379,2022-11-01,R501,JB,0 days 10:22:32
27.40,1099394,2022-11-01,Y502,JB,0 days 11:25:27
22.91,1099400,2022-11-01,Y501,JB,0 days 12:31:21
22.99,1099528,2022-11-02,R501,ER,0 days 08:53:57
26.51,1099553,2022-11-02,Y502,ER,0 days 11:11:54
22.89,1099554,2022-11-02,Y501,ER,0 days 11:12:32
23.00,1099671,2022-11-03,R501,ER,0 days 09:32:03
22.60,1099678,2022-11-03,Y501,ER,0 days 12:16:19
25.87,1099680,2022-11-03,Y502,ER,0 days 12:17:22
23.18,1099807,2022-11-04,R501,ER,0 days 08:41:06
25.31,1099813,2022-11-04,Y502,ER,0 days 11:00:41
22.11,1099817,2022-11-04,Y501,ER,0 days 11:02:18
23.21,1099907,2022-11-05,R501,ER,0 days 08:48:47
21.53,1099919,2022-11-05,Y501,ER,0 days 11:10:54
25.00,1099922,2022-11-05,Y502,ER,0 days 11:12:25
22.96,1100082,2022-11-06,R501,ER,0 days 07:34:53
21.61,1100101,2022-11-06,Y501,ER,0 days 09:58:59
24.85,1100105,2022-11-06,Y502,ER,0 days 10:01:22
22.95,1100263,2022-11-07,R501,JY,0 days 10:38:56
24.85,1100268,2022-11-07,Y502,JY,0 days 10:46:21
21.40,1100269,2022-11-07,Y501,JY,0 days 10:47:34
22.78,1100402,2022-11-08,R501,JB,0 days 09:34:43
24.73,1100408,2022-11-08,Y502,JB,0 days 09:45:28
21.48,1100409,2022-11-08,Y501,JB,0 days 09:46:15
23.70,1100551,2022-11-09,R501,ER,0 days 08:22:40
21.23,1100556,2022-11-09,Y501,ER,0 days 10:41:22
24.38,1100558,2022-11-09,Y502,ER,0 days 10:42:29
23.10,1100683,2022-11-10,R501,ER,0 days 08:00:58
24.18,1100692,2022-11-10,Y502,ER,0 days 10:28:59
21.14,1100693,2022-11-10,Y501,ER,0 days 10:29:54
22.71,1100821,2022-11-11,R501,ER,0 days 07:52:17
20.90,1100827,2022-11-11,Y501,ER,0 days 10:12:58
24.19,1100829,2022-11-11,Y502,ER,0 days 10:14:27
22.43,1100955,2022-11-12,R501,ER,0 days 07:42:41
24.85,1100974,2022-11-12,Y502,ER,0 days 09:58:26
20.68,1100976,2022-11-12,Y501,ER,0 days 09:59:45
22.19,1101113,2022-11-13,R501,ER,0 days 06:55:35
25.01,1101133,2022-11-13,Y502,ER,0 days 09:18:13
20.66,1101135,2022-11-13,Y501,ER,0 days 09:19:48
22.15,1101286,2022-11-14,R501,JY,0 days 10:35:04
24.98,1101292,2022-11-14,Y502,JY,0 days 10:42:48
20.42,1101294,2022-11-14,Y501,JY,0 days 10:44:33
22.00,1101441,2022-11-15,R501,JB,0 days 10:31:55
24.94,1101446,2022-11-15,Y502,JB,0 days 10:44:30
20.07,1101447,2022-11-15,Y501,JB,0 days 10:44:50
21.97,1101594,2022-11-16,R501,ER,0 days 07:52:01
24.67,1101617,2022-11-16,Y502,ER,0 days 10:10:58
20.20,1101618,2022-11-16,Y501,ER,0 days 10:11:28
21.87,1101774,2022-11-17,R501,JL,0 days 08:28:11
24.43,1101787,2022-11-17,Y502,JL,0 days 10:56:25
20.13,1101788,2022-11-17,Y501,JL,0 days 10:57:03
21.71,1101932,2022-11-18,R501,JL,0 days 08:37:33
20.22,1101946,2022-11-18,Y501,JL,0 days 11:02:59
24.19,1101948,2022-11-18,Y502,JL,0 days 11:03:51
21.84,1102076,2022-11-19,R501,ER,0 days 07:15:46
20.34,1102097,2022-11-19,Y501,ER,0 days 09:41:51
23.93,1102100,2022-11-19,Y502,ER,0 days 09:44:26
21.67,1102240,2022-11-20,R501,ER,0 days 07:18:51
20.37,1102260,2022-11-20,Y501,ER,0 days 09:38:04
23.87,1102261,2022-11-20,Y502,ER,0 days 09:43:23
21.61,1102409,2022-11-21,R501,JY,0 days 10:28:18
23.84,1102415,2022-11-21,Y502,JY,0 days 10:36:17
20.75,1102418,2022-11-21,Y501,JY,0 days 10:38:57
21.90,1102555,2022-11-22,R501,JL,0 days 08:30:14
23.97,1102573,2022-11-22,Y502,JL,0 days 10:57:53
20.65,1102574,2022-11-22,Y501,JL,0 days 10:59:54
21.76,1102706,2022-11-23,R501,JL,0 days 08:06:43
21.08,1102721,2022-11-23,Y501,JL,0 days 10:33:58
24.26,1102722,2022-11-23,Y502,JL,0 days 10:34:34
0.00,1102870,2022-11-24,R501,FW,0 days 23:52:50
0.00,1102912,2022-11-24,Y501,FW,0 days 23:52:50
0.00,1102913,2022-11-24,Y502,FW,0 days 23:52:50
24.31,1102916,2022-11-25,R501,ER,0 days 08:04:35
23.33,1102926,2022-11-25,Y501,ER,0 days 08:10:18
26.01,1102930,2022-11-25,Y502,ER,0 days 08:11:31
23.39,1102995,2022-11-26,R501,ER,0 days 06:58:11
25.34,1103018,2022-11-26,Y502,ER,0 days 09:20:30
23.41,1103020,2022-11-26,Y501,ER,0 days 09:22:06
23.42,1103155,2022-11-27,R501,ER,0 days 06:46:44
22.89,1103177,2022-11-27,Y501,ER,0 days 09:13:07
24.95,1103178,2022-11-27,Y502,ER,0 days 09:13:43
0.00,1103399,2022-11-28,R501,FW,0 days 23:52:11
0.00,1103404,2022-11-28,Y501,FW,0 days 23:52:11
0.00,1103405,2022-11-28,Y502,FW,0 days 23:52:11
25.41,1103471,2022-11-29,R501,JL,0 days 08:45:14
24.20,1103488,2022-11-29,Y501,JL,0 days 10:57:29
